metric,value
per_mouse_acc,0.9375
accuracy,0.9360730593607306
f1_macro,0.9217224635829288
precision_During,0.9857142857142858
recall_During,0.9857142857142858
f1_During,0.9857142857142858
precision_Post,0.9736842105263158
recall_Post,0.8809523809523809
f1_Post,0.925
precision_Pre,0.9545454545454546
recall_Pre,1.0
f1_Pre,0.9767441860465116
precision_Re-exposure,0.8461538461538461
recall_Re-exposure,0.8461538461538461
f1_Re-exposure,0.8461538461538461
precision_Withdrawal,0.8536585365853658
recall_Withdrawal,0.8974358974358975
f1_Withdrawal,0.875
