name,lomo_accuracy,lomo_balanced_accuracy,permutation_p,fdr_q0.05
HOT_Pct_Flinching,0.5273972602739726,0.5273972602739726,0.07692307692307693,False
bout_n,0.5251141552511416,0.5251141552511416,0.15384615384615385,False
nan_TST_Pct_Rearing,0.5251141552511416,0.5251141552511416,0.5,False
nan_TST_Pct_Flinching,0.5251141552511416,0.5251141552511416,0.15384615384615385,False
nan_HOT_Pct_Rearing,0.5251141552511416,0.5251141552511416,0.38461538461538464,False
nan_HOT_Pct_Flinching,0.5251141552511416,0.5251141552511416,0.34615384615384615,False
nan_HOT_Pct_HindlimbLicking,0.5251141552511416,0.5251141552511416,0.34615384615384615,False
nan_HOT_Pct_Jump,0.5251141552511416,0.5251141552511416,0.23076923076923078,False
nan_TST_Pct_HindlimbLicking,0.5251141552511416,0.5251141552511416,0.3076923076923077,False
nan_TST_Pct_Jump,0.5251141552511416,0.5251141552511416,0.46153846153846156,False
nan_HOT_Pct_Non_moving,0.5251141552511416,0.5251141552511416,0.34615384615384615,False
nan_HOT_Pct_Licking,0.5251141552511416,0.5251141552511416,0.19230769230769232,False
nan_TST_Pct_Non_moving,0.5251141552511416,0.5251141552511416,0.34615384615384615,False
nan_TST_Pct_Licking,0.5251141552511416,0.5251141552511416,0.23076923076923078,False
lick_medianIEI_s,0.5159817351598174,0.5159817351598174,0.38461538461538464,False
log_bout_n,0.5159817351598174,0.5159817351598174,0.38461538461538464,False
HOT_Pct_Rearing,0.5136986301369864,0.5136986301369862,0.4230769230769231,False
HOT_Pct_Non_moving,0.5114155251141552,0.5114155251141552,0.5,False
Immersion_Latency_s,0.5091324200913242,0.5091324200913242,0.4230769230769231,False
pupil_mean,0.5091324200913242,0.5091324200913242,0.6153846153846154,False
nan_Requirement_speed_per_day,0.5091324200913242,0.5091324200913242,0.7307692307692307,False
Requirement_speed_per_day,0.5068493150684932,0.5068493150684932,0.5,False
TST_Pct_Rearing,0.5068493150684932,0.5068493150684932,0.38461538461538464,False
lick_totalDur_s,0.5045662100456622,0.504566210045662,0.6538461538461539,False
TST_Pct_Jump,0.5,0.5,1.0,False
HOT_Pct_Jump,0.5,0.5,0.7307692307692307,False
TST_Pct_Flinching,0.5,0.5,1.0,False
TST_Pct_HindlimbLicking,0.5,0.5,1.0,False
bout_meanDur_s,0.5,0.5,0.6923076923076923,False
is_active,0.5,0.5,0.5769230769230769,False
log_rew_freq_per_min,0.4977168949771689,0.4977168949771689,0.5384615384615384,False
log_rew_n,0.4977168949771689,0.497716894977169,0.6538461538461539,False
log_RequirementLast,0.4977168949771689,0.497716894977169,0.6153846153846154,False
log_lick_freq_per_min,0.4977168949771689,0.497716894977169,0.5384615384615384,False
bout_totalDur_s,0.4977168949771689,0.497716894977169,0.5384615384615384,False
lick_meanDur_s,0.4931506849315068,0.4931506849315068,0.7307692307692307,False
Requirement_cum,0.4931506849315068,0.4931506849315068,0.7307692307692307,False
nan_Immersion_Latency_s,0.4908675799086758,0.4908675799086758,0.7307692307692307,False
HOT_Pct_HindlimbLicking,0.4885844748858447,0.4885844748858447,0.7692307692307693,False
lick_freq_per_min,0.4863013698630137,0.4863013698630137,0.6923076923076923,False
log_Requirement_cum,0.4863013698630137,0.4863013698630137,0.6923076923076923,False
rew_medianIRI_s,0.4817351598173516,0.4817351598173516,0.6153846153846154,False
nan_Requirement_speed_per_min,0.4771689497716895,0.47716894977168944,0.8461538461538461,False
nan_rew_freq_per_min,0.4771689497716895,0.47716894977168944,0.7692307692307693,False
nan_rew_totalDur_s,0.4771689497716895,0.47716894977168944,0.7692307692307693,False
nan_rew_medianIRI_s,0.4771689497716895,0.47716894977168944,0.8461538461538461,False
nan_lick_medianIEI_s,0.4771689497716895,0.47716894977168944,0.6538461538461539,False
nan_lick_meanDur_s,0.4771689497716895,0.47716894977168944,0.7307692307692307,False
nan_lick_freq_per_min,0.4771689497716895,0.47716894977168944,0.8461538461538461,False
nan_RequirementLast,0.4771689497716895,0.47716894977168944,0.9230769230769231,False
nan_lick_totalDur_s,0.4771689497716895,0.47716894977168944,0.8461538461538461,False
nan_bout_n,0.4771689497716895,0.47716894977168944,0.6923076923076923,False
nan_bout_meanDur_s,0.4771689497716895,0.47716894977168944,0.8461538461538461,False
nan_rew_n,0.4771689497716895,0.47716894977168944,0.7692307692307693,False
HOT_Pct_Licking,0.4748858447488584,0.4748858447488584,0.8076923076923077,False
RequirementLast,0.4726027397260274,0.4726027397260274,0.8076923076923077,False
rew_totalDur_s,0.4726027397260274,0.4726027397260274,0.8461538461538461,False
rew_n,0.4726027397260274,0.4726027397260274,0.7692307692307693,False
TST_Pct_Non_moving,0.4703196347031963,0.4703196347031964,0.9615384615384616,False
TST_Pct_Licking,0.4703196347031963,0.4703196347031964,0.9615384615384616,False
rew_freq_per_min,0.4703196347031963,0.4703196347031963,0.7307692307692307,False
Requirement_speed_per_min,0.4680365296803653,0.4680365296803653,0.8846153846153846,False
